Rank	Rating	Title	Votes
220.	7.9	Pirates of the Caribbean: The Curse of the Black Pearl (2003)	141,768
221.	7.9	Out of the Past (1947)	5,640
222.	7.9	Hotaru no haka (1988)	16,880
223.	7.9	Finding Neverland (2004)	53,415
224.	7.9	A Streetcar Named Desire (1951)	18,612
225.	7.9	In Cold Blood (1967)	5,763
226.	7.9	Stalag 17 (1953)	12,237
227.	7.9	Cinderella Man (2005)	36,692
228.	7.9	Shaun of the Dead (2004)	62,958
229.	7.9	Shrek (2001)	114,373
230.	7.9	Dial M for Murder (1954)	15,244
231.	7.9	Mou gaan dou (2002)	18,465
232.	7.9	Manhattan (1979)	21,779
233.	7.9	Rope (1948)	15,228
234.	7.9	Casino (1995)	55,386
235.	7.9	Zodiac (2007/I)	37,311
236.	7.9	Du rififi chez les hommes (1955)	4,154
237.	7.9	All Quiet on the Western Front (1930)	12,504
238.	7.9	Umberto D. (1952)	3,861
239.	7.9	The Lost Weekend (1945)	6,251
240.	7.9	Before Sunset (2004)	26,770
241.	7.9	Doctor Zhivago (1965)	18,428
242.	7.9	A Man for All Seasons (1966)	7,686
243.	7.9	Roman Holiday (1953)	17,292
244.	7.9	Brazil (1985)	50,745
245.	7.9	Hauru no ugoku shiro (2004)	19,581
246.	7.9	Haine, La (1995)	13,905
247.	7.9	Mulholland Dr. (2001)	63,542
248.	7.9	Walk the Line (2005)	50,952
249.	7.9	The Man Who Shot Liberty Valance (1962)	13,235
250.	7.9	Harold and Maude (1971)	16,170

